ordinal	decision_id	recorded_at	epistemic_type	source_change_declared	alternative_field_count	companion_count
1	ISV019-EDIT-0001	2026-08-12T19:52:20+02:00	parent_editorial_decision_from_multisource_evidence	false	1	0
2	ISV019-EDIT-0002	2026-08-12T19:52:20+02:00	parent_editorial_decision_from_source_and_cross_branch_construction_evidence	false	1	0
3	ISV019-EDIT-0003	2026-08-12T20:27:00+02:00	manager_editorial_decision_from_official_six_group_design_and_dictionary_branch_evidence	true	1	0
4	ISV019-EDIT-0004	2026-08-12T20:45:00+02:00	manager_editorial_decision_from_dictionary_semantics_and_cross_slavic_transparency	false	1	0
5	ISV019-EDIT-0005	2026-08-12T20:54:00+02:00	manager_editorial_decision_from_official_headword_and_branch-distribution_evidence	false	1	0
6	ISV019-EDIT-0006	2026-08-12T21:02:00+02:00	manager_editorial_decision_from_unanimous_dictionary-branch_evidence	false	1	0
7	ISV019-EDIT-0007	2026-08-12T21:10:00+02:00	manager_editorial_decision_from_unanimous_dictionary-branch_evidence	false	1	0
8	ISV019-EDIT-0008	2026-08-12T21:44:00+02:00	manager_editorial_decision_from_official_surface_and_balanced_branch_evidence	false	1	0
9	ISV019-EDIT-0009	2026-08-12T21:52:00+02:00	manager_editorial_decision_from_exact_official_headword_and_corpus_context_replay	false	1	0
10	ISV019-EDIT-0010	2026-08-12T22:00:00+02:00	parent_QA_correction_and_residual_surface_repair	false	1	0
11	ISV019-EDIT-0011	2026-08-12T20:52:00+02:00	manager_sentence_level_editorial_repair_from_official_lexical_semantics_and_west_south_mathematical_usage	false	2	1
12	ISV019-EDIT-0012	2026-08-12T21:16:50+02:00	manager_final_sentence_level_editorial_decision_from_official_grammar_dictionary_and_exact_corpus_replay	false	2	1
13	ISV019-EDIT-0013	2026-08-12T21:25:45+02:00	manager_final_technical_terminology_decision_from_six_group_corpus_evidence_and_inflection_replay	false	2	1
14	ISV019-EDIT-0014	2026-08-12T23:42:01.4548260+02:00	manager_final_morphosyntactic_decision_from_official_lexicon_grammar_and_context_replay	false	6	1
15	ISV019-EDIT-0015	2026-08-12T23:56:54.9207100+02:00	manager_final_lexical_morphological_and_contextual_decision_from_official_lexicon_grammar_and_german_sentence_alignment	false	2	1
16	ISV019-EDIT-0016	2026-08-13T00:22:27.5101390+02:00	manager_final_corpus_wide_lexical_and_morphological_normalization	false	2	1
17	ISV019-EDIT-0017	2026-08-13T00:27:00+02:00	manager_residual_family_completion_after_independent_read_only_qa	false	2	1
18	ISV019-EDIT-0018	2026-08-13T00:30:32.6815840+02:00	manager_direct_residual_canonicalization	false	2	1
19	ISV019-EDIT-0019	2026-08-13T00:33:48.9197076+02:00	manager_direct_official_morphology_and_sentence_formula_repair	false	2	1
20	ISV019-EDIT-0020	2026-08-13T00:41:11.0699264+02:00	manager_direct_sentence_syntax_and_prose_copula_repair	false	2	1
21	ISV019-EDIT-0021	2026-08-13T00:45:09.6862907+02:00	manager_direct_semantic_disambiguation_and_family_normalization	false	2	1
22	ISV019-EDIT-0022	2026-08-13T00:52:32.6097203+02:00	manager_direct_contextual_lexical_normalization	false	2	1
23	ISV019-EDIT-0023	2026-08-13T00:57:30.0000000+02:00	manager_direct_official_lexical_normalization	false	2	1
24	ISV019-EDIT-0024	2026-08-13T01:02:00.0000000+02:00	manager_direct_lexical_morphological_and_semantic_normalization	false	2	1
25	ISV019-EDIT-0025	2026-08-13T01:06:34.8065550+02:00	manager_direct_lexical_morphological_and_semantic_normalization	false	2	1
26	ISV019-EDIT-0026	2026-08-13T01:09:04.2392729+02:00	manager_direct_terminological_morphological_and_contextual_normalization	false	2	1
27	ISV019-EDIT-0027	2026-08-13T01:11:04.9956613+02:00	manager_direct_semantic_and_lexical_normalization	false	2	1
28	ISV019-EDIT-0028	2026-08-13T01:15:21.6441312+02:00	manager_direct_corpus_wide_terminology_normalization	false	2	1
29	ISV019-EDIT-0029	2026-08-13T01:16:59.4250714+02:00	manager_direct_morphological_normalization	false	2	1
30	ISV019-EDIT-0030	2026-08-13T01:22:56.4595067+02:00	manager_direct_semantic_morphological_and_lexical_normalization	false	2	1
31	ISV019-EDIT-0031	2026-08-13T01:24:24.2997970+02:00	manager_direct_morphological_normalization	false	2	1
32	ISV019-EDIT-0032	2026-08-13T01:32:45.8275663+02:00	manager_direct_semantic_family_normalization	false	2	1
33	ISV019-EDIT-0033	2026-08-13T01:35:27.6547939+02:00	manager_direct_orthographic_normalization	false	2	1
34	ISV019-EDIT-0034	2026-08-13T01:39:16.9981038+02:00	manager_direct_morphological_and_orthographic_normalization	false	2	1
35	ISV019-EDIT-0035	2026-08-13T01:42:13.5941890+02:00	manager_direct_pronominal_normalization	false	2	1
36	ISV019-EDIT-0036	2026-08-13T01:44:44.9355754+02:00	manager_direct_orthographic_normalization	false	2	1
37	ISV019-EDIT-0037	2026-08-13T01:46:35.4213163+02:00	manager_direct_orthographic_terminology_normalization	false	2	1
38	ISV019-EDIT-0038	2026-08-13T01:54:00.3606096+02:00	manager_direct_semantic_terminology_and_case_government_normalization	false	4	1
39	ISV019-EDIT-0039	2026-08-13T01:58:09.2148709+02:00	manager_direct_modal_terminology_morphology_and_agreement_normalization	false	4	1
40	ISV019-EDIT-0040	2026-08-13T02:01:51.7519190+02:00	manager_direct_lexical_semantic_and_morphological_normalization	false	4	1
41	ISV019-EDIT-0041	2026-08-13T02:03:40.8193494+02:00	manager_direct_semantic_verb_family_normalization	false	4	1
42	ISV019-EDIT-0042	2026-08-13T02:20:36.5165290+02:00	manager_direct_mathematical_terminology_and_agreement_normalization	false	4	1
43	ISV019-EDIT-0043	2026-08-13T02:25:04.7659307+02:00	manager_direct_assumption_family_canonicalization	false	2	1
44	ISV019-EDIT-0044	2026-08-13T02:29:17.9718115+02:00	manager_direct_inference_connective_normalization	false	2	1
45	ISV019-EDIT-0045	2026-08-13T02:31:45.7201629+02:00	manager_direct_membership_family_normalization	false	2	1
46	ISV019-EDIT-0046	2026-08-13T02:42:22.6219663+02:00	manager_direct_residual_regression_and_orthography_repair	false	2	1
47	ISV019-EDIT-0047	2026-08-13T02:46:07.5333417+02:00	manager_direct_residual_existence_family_normalization	false	4	1
48	ISV019-EDIT-0048	2026-08-13T02:55:07.9035821+02:00	manager_direct_cross_branch_technical_terminology_normalization	false	4	1
49	ISV019-EDIT-0049	2026-08-13T03:02:47.2986436+02:00	manager_direct_residual_consider_family_normalization_with_declared_terminal_correction	false	4	1
50	ISV019-EDIT-0050	2026-08-13T03:05:31.0397956+02:00	manager_direct_terminal_semantic_correction	false	2	1
51	ISV019-EDIT-0051	2026-08-13T03:17:31.1851804+02:00	manager_direct_context_sensitive_correspondence_closure	false	2	1
52	ISV019-EDIT-0052	2026-08-13T03:24:29.6369474+02:00	manager_direct_necessity_terminology_unification_and_scope_repair	false	2	1
53	ISV019-EDIT-0053	2026-08-13T03:31:14.7445169+02:00	manager_direct_official_preservation_family_normalization	false	4	1
54	ISV019-EDIT-0054	2026-08-13T13:48:37.7696603+02:00	manager_direct_residual_semantic_and_case_government_normalization	false	4	1
55	ISV019-EDIT-0055	2026-08-13T13:50:59.6226218+02:00	manager_direct_tex_definition_order_repair	false	2	1
56	ISV019-EDIT-0056	2026-08-13T13:57:37.6442096+02:00	manager_direct_official_diacritic_family_normalization	false	2	1
57	ISV019-EDIT-0057	2026-08-13T14:01:00.6865079+02:00	manager_direct_pronominal_case_paradigm_normalization	false	2	1
58	ISV019-EDIT-0058	2026-08-13T14:08:08.3498932+02:00	manager_direct_verbal_noun_genitive_plural_morphology_repair	false	2	1
59	ISV019-EDIT-0059	2026-08-13T14:11:27.4442943+02:00	manager_direct_third_person_plural_morphology_repair	false	2	1
60	ISV019-EDIT-0060	2026-08-13T14:14:25.3630179+02:00	manager_direct_cross_slavic_universal_pronoun_normalization	false	2	1
61	ISV019-EDIT-0061	2026-08-13T14:24:21.7079672+02:00	manager_direct_third_person_plural_morphology_repair_continuation	false	2	1
62	ISV019-EDIT-0062	2026-08-13T14:28:34.5669369+02:00	manager_direct_cross_slavic_completeness_semantic_split	false	2	1
63	ISV019-EDIT-0063	2026-08-13T14:30:57.6945480+02:00	manager_direct_second_conjugation_plural_morphology_repair	false	2	1
64	ISV019-EDIT-0064	2026-08-13T14:32:48.3024319+02:00	manager_direct_inference_connective_normalization_continuation	false	2	1
65	ISV019-EDIT-0065	2026-08-13T14:35:09.7554072+02:00	manager_direct_sentence_aware_second_conjugation_number_repair	false	2	1
66	ISV019-EDIT-0066	2026-08-13T14:37:19.6497694+02:00	manager_direct_official_lemma_diacritic_normalization	false	2	1
67	ISV019-EDIT-0067	2026-08-13T14:39:46.6377951+02:00	manager_direct_sentence_aware_official_paradigm_repair	false	2	1
68	ISV019-EDIT-0068	2026-08-13T14:43:36.0847337+02:00	manager_direct_definition_connective_repair	false	2	1
69	ISV019-EDIT-0069	2026-08-13T14:45:25.9234917+02:00	manager_direct_equivalence_connective_normalization	false	2	1
70	ISV019-EDIT-0070	2026-08-13T14:47:28.5658449+02:00	manager_book_equivalence_connective_normalization	false	2	1
71	ISV019-EDIT-0071	2026-08-13T14:53:40.8103841+02:00	manager_arbitrary_quantifier_family_normalization	false	2	1
72	ISV019-EDIT-0072	2026-08-13T14:56:35.4182650+02:00	manager_conditional_apodosis_connective_normalization	false	2	1
73	ISV019-EDIT-0073	2026-08-13T14:59:31.1178000+02:00	manager_obtain_derive_family_normalization	false	2	1
74	ISV019-EDIT-0074	2026-08-13T15:01:57.1777288+02:00	manager_book_connective_semantic_closure	false	2	1
75	ISV019-EDIT-0075	2026-08-13T15:03:55.2775858+02:00	manager_dostav_obtain_supply_semantic_split	false	2	1
76	ISV019-EDIT-0076	2026-08-13T15:08:22.7460185+02:00	manager_irregular_superlative_morphology_normalization	false	2	1
77	ISV019-EDIT-0077	2026-08-13T15:10:29.8006413+02:00	manager_frequency_adverb_repair	false	2	1
78	ISV019-EDIT-0078	2026-08-13T15:17:09.0166907+02:00	manager_minimum_at_least_semantic_split	false	2	1
79	ISV019-EDIT-0079	2026-08-13T15:18:59.3113515+02:00	manager_base_equivalence_connective_tranche	false	2	1
80	ISV019-EDIT-0080	2026-08-13T15:21:32.0164070+02:00	manager_comparative_adverb_normalization	false	2	1
81	ISV019-EDIT-0081	2026-08-13T15:23:51.2519544+02:00	manager_base_logical_consequence_connective_tranche	false	2	1
82	ISV019-EDIT-0082	2026-08-13T15:26:17.9973633+02:00	manager_degree_adverb_normalization	false	2	1
83	ISV019-EDIT-0083	2026-08-13T15:28:26.4571245+02:00	manager_base_logical_consequence_connective_tranche	false	2	1
84	ISV019-EDIT-0084	2026-08-13T15:31:42.0578506+02:00	manager_base_logical_consequence_phrase_and_token_tranche	false	2	1
85	ISV019-EDIT-0085	2026-08-13T15:33:43.4881970+02:00	manager_recurrence_adverb_closure	false	2	1
86	ISV019-EDIT-0086	2026-08-13T15:36:51.6219290+02:00	manager_conditional_apodosis_recast	false	2	1
87	ISV019-EDIT-0087	2026-08-13T15:40:52.1586809+02:00	manager_discourse_adverb_normalization	false	2	1
88	ISV019-EDIT-0088	2026-08-13T15:44:16.7772794+02:00	manager_adjective_agreement_repair	false	2	1
89	ISV019-EDIT-0089	2026-08-13T15:47:40.4861028+02:00	manager_logical_connective_resolution	false	2	1
90	ISV019-EDIT-0090	2026-08-13T15:50:43.2402254+02:00	manager_adjective_genitive_plural_repair	false	2	1
91	ISV019-EDIT-0091	2026-08-13T15:55:26.0911897+02:00	manager_hard_genitive_locative_plural_closure	false	2	1
92	ISV019-EDIT-0092	2026-08-13T16:02:18.5508950+02:00	manager_hard_adjective_plural_closure	false	2	1
93	ISV019-EDIT-0093	2026-08-13T16:07:12.8092221+02:00	manager_connective_family_complete_semantic_closure	false	2	1
94	ISV019-EDIT-0094	2026-08-13T16:11:03.1358540+02:00	demonstrative_genitive_locative_plural_morphology_repair	false	2	1
95	ISV019-EDIT-0095	2026-08-13T16:13:44.6703261+02:00	except_preposition_lexical_family_normalization	false	2	1
96	ISV019-EDIT-0096	2026-08-13T16:21:51.9849281+02:00	hard_adjective_pronominal_genitive_locative_plural_closure	false	2	1
97	ISV019-EDIT-0097	2026-08-13T16:28:44.0314303+02:00	example_noun_and_adverb_complete_family_normalization	false	2	1
98	ISV019-EDIT-0098	2026-08-13T16:30:18.9288362+02:00	append_only_audit_correction_no_source_write	false	2	1
99	ISV019-EDIT-0099	2026-08-13T16:31:52.0848789+02:00	hard_masculine_noun_locative_plural_repair	false	2	1
100	ISV019-EDIT-0100	2026-08-13T16:40:43.3372469+02:00	substitution_preposition_complete_lexical_normalization	false	2	1
101	ISV019-EDIT-0101	2026-08-13T16:47:47.1618507+02:00	comparative_adjective_stem_restoration	false	2	1
102	ISV019-EDIT-0102	2026-08-13T17:03:10.2738578+02:00	preferred_third_person_plural_possessive_normalization	false	2	1
103	ISV019-EDIT-0103	2026-08-13T17:15:25.5262916+02:00	residual_arbitrary_quantifier_false_friend_closure	false	2	1
104	ISV019-EDIT-0104	2026-08-13T17:29:11.0374866+02:00	courtesy_adverb_official_orthography_singleton	false	2	1
105	ISV019-EDIT-0105	2026-08-13T20:16:54.3317718+02:00	copular_infinitive_false_friend_closure	false	2	1
106	ISV019-EDIT-0106	2026-08-13T20:24:46.6401678+02:00	locative_demonstrative_split_and_transliteration_typo_closure	false	2	1
107	ISV019-EDIT-0107	2026-08-13T20:30:03.3064068+02:00	adjective_nominative_accusative_plural_residual_repair	false	2	1
108	ISV019-EDIT-0108	2026-08-13T20:34:06.9274332+02:00	shortest_superlative_false_friend_family_closure	false	2	1
109	ISV019-EDIT-0109	2026-08-13T20:46:04.2432484+02:00	residual_comparative_superlative_family_closure	false	2	1
110	ISV019-EDIT-0110	2026-08-13T20:52:41.1911149+02:00	third_ordinal_orthography_and_declension_closure	false	2	1
111	ISV019-EDIT-0111	2026-08-13T20:59:07.4555341+02:00	motion_participle_vs_preceding_adjective_disambiguation	false	2	1
112	ISV019-EDIT-0112	2026-08-13T21:04:00.3260283+02:00	cardinal_numeral_genitive_declension_closure	false	2	1
113	ISV019-EDIT-0113	2026-08-13T21:08:04.2511039+02:00	idti_present_participle_orthography_singleton	false	2	1
114	ISV019-EDIT-0114	2026-08-13T21:18:40.0823462+02:00	previous_preceding_adjective_and_previously_adverb_family_normalization	false	2	1
115	ISV019-EDIT-0115	2026-08-13T21:31:23.9530659+02:00	previous_preceding_adjective_and_precede_verb_residual_normalization	false	2	1
116	ISV019-EDIT-0116	2026-08-13T21:58:32.2200443+02:00	assumption_supposition_family_false_friend_and_morphosyntax_normalization	false	2	1
117	ISV019-EDIT-0117	2026-08-13T22:10:51.3708984+02:00	czech_surface_residual_orthographic_and_present_form_normalization	false	2	1
118	ISV019-EDIT-0118	2026-08-13T22:29:31.6877492+02:00	transition_family_house_surface_and_finite_morphology_normalization	false	3	1
119	ISV019-EDIT-0119	2026-08-13T22:45:37.1211087+02:00	row_order_series_family_lexical_surface_and_false_friend_terminology_normalization	false	2	1
120	ISV019-EDIT-0120	2026-08-14T01:23:15+02:00	passive_participle_and_verbal_noun_derivational_morphology_normalization	false	2	1
121	ISV019-EDIT-0121	2026-08-14T01:48:39+02:00		false	0	1
122	ISV019-EDIT-0122	2026-08-14T02:59:08+02:00		false	0	1
123	ISV019-EDIT-0123	2026-08-14T03:50:59+02:00	lexical_morphological_house_family_closure	false	0	1
124	ISV019-EDIT-0124	2026-08-14T04:42:29+02:00	sentence_specific_noninterrogative_pronoun_syntax_closure	false	1	1
125	ISV019-EDIT-0125	2026-08-14T05:47:40+02:00	source_fidelity_mathematical_sign_repair	false	0	1
126	ISV019-EDIT-0126	2026-08-14T06:11:03+02:00	producer_lineage_provenance_correction	false	0	1
127	ISV019-EDIT-0127	2026-08-14T13:01:05+02:00	official_lexicalized_preposition_surface_normalization	false	0	1
128	ISV019-EDIT-0128	2026-08-14T14:30:12+02:00	cross_lane_source_fidelity_and_bounded_register_repair	false	2	1
129	ISV019-EDIT-0129	2026-08-14T15:45:00+02:00	project_authority_citation_placement_and_current_body_producer_synchronization	false	1	1
130	ISV019-EDIT-0130	2026-08-14T16:38:00+02:00	project_authority_mathematical_source_fidelity_and_bounded_interslavic_surface_editing	false	1	1
131	ISV019-EDIT-0131	2026-08-14T16:56:00+02:00	project_authority_mathematical_source_fidelity_and_bounded_interslavic_surface_editing	false	1	1
132	ISV019-EDIT-0132	2026-08-14T17:32:00+02:00	project_authority_source_identity_rebase_with_bounded_interslavic_surface_editing	false	1	1
133	ISV019-EDIT-0133	2026-08-14T20:33:17+02:00	project_authority_source_layout_and_visual_fidelity_repair	false	1	2
134	ISV019-EDIT-0134	2026-08-14T21:31:00+02:00	project_authority_presentation_fidelity_repair	false	0	2
135	ISV019-EDIT-0135	2026-08-14T23:06:53+02:00	official_house_orthography_family_normalization	false	0	2
136	ISV019-EDIT-0136	2026-08-14T23:38:23+02:00	official_lexeme_and_established_house_surface_completion	false	0	2
137	ISV019-EDIT-0137	2026-08-15T01:33:23+02:00	official_conjunction_and_established_house_adversative_completion	false	0	2
138	ISV019-EDIT-0138	2026-08-15T22:01:30+02:00	active_german_authority_bounded_mathematical_notation_source_fidelity_mirror	false	0	2
139	ISV019-EDIT-0139	2026-08-16T17:29:13+02:00	official_dictionary_and_german_aligned_semantic_false_friend_split	false	0	2
140	ISV019-EDIT-0140	2026-08-16T18:12:53+02:00	primary_and_german_aligned_mathematical_sign_fidelity	false	0	2
141	ISV019-EDIT-0141	2026-08-16T20:22:30+02:00	official_dictionary_house_register_lexical_normalization_with_german_sentence_control	false	0	2
142	ISV019-EDIT-0142	2026-08-16T21:35:00+02:00	append_only_original_coverage_correction_using_pinned_dictionary_grammar_and_german_sentence_controls	false	0	2
143	ISV019-EDIT-0143	2026-08-16T22:15:00+02:00	german_sentence_control_plus_official_dictionary_and_grammar_with_deterministic_source_engineering	false	0	2
144	ISV019-EDIT-0144	2026-08-16T23:35:00+02:00	complete_live_family_census_plus_official_dictionary_grammar_and_sentence_aligned_german_controls	false	1	2
